location,violence_category,num_incident
Vancouver,"Domestic Violence",7
Vancouver,"Workplace Violence",7
Vancouver,"Intimate Partner Violence",6
Surrey,"Domestic Violence",5
Surrey,"Workplace Violence",5
Vancouver,Bullying,5
Richmond,"Intimate Partner Violence",4
Burnaby,Bullying,4
Surrey,Bullying,4
Burnaby,"Domestic Violence",3
Surrey,"Intimate Partner Violence",3
"West Vancouver","Intimate Partner Violence",3
Langley,Bullying,3
Delta,"Domestic Violence",2
Langley,"Domestic Violence",2
Burnaby,"Workplace Violence",2
"Maple Ridge","Workplace Violence",2
Coquitlam,"Workplace Violence",2
"North Vancouver","Workplace Violence",2
Langley,"Intimate Partner Violence",2
Burnaby,"Intimate Partner Violence",2
"Maple Ridge","Intimate Partner Violence",2
Coquitlam,"Intimate Partner Violence",2
Richmond,"Workplace Violence",2
Delta,Bullying,2
"Maple Ridge",Bullying,2
Coquitlam,Bullying,2
Richmond,Bullying,2
"West Vancouver",Bullying,1
"New Westminster",Bullying,1
Delta,"Intimate Partner Violence",1
"New Westminster","Intimate Partner Violence",1
"Maple Ridge","Domestic Violence",1
"Bowen Island","Domestic Violence",1
Richmond,"Domestic Violence",1
"North Vancouver","Domestic Violence",1
"West Vancouver","Domestic Violence",1
"West Vancouver","Workplace Violence",1
Delta,"Workplace Violence",1
