violence_category,need_name,num_of_need,per_effective
Bullying,"Psychological Support",15,36.4
Bullying,"Legal Assistance",8,66.7
Bullying,"Medical Care",6,80.0
"Domestic Violence",Shelter,17,42.9
"Domestic Violence",Counseling,8,66.7
"Domestic Violence",Housing,6,50.0
"Intimate Partner Violence","Psychological Support",14,37.5
"Intimate Partner Violence","Legal Assistance",11,75.0
"Intimate Partner Violence",Employment,5,66.7
"Workplace Violence","Psychological Support",11,75.0
"Workplace Violence",Employment,11,83.3
"Workplace Violence",Counseling,8,66.7
